100, 15, 1, 1, 2, 5, 3, 1, 6, 0, 2, 3
200, 9, 2, 2, 3, 6, 2, 2, 7, 1, 3, 2
300, 10, 3, 3, 1, 7, 3, 3, 8, 2, 2, 3
400, 17, 4, 4, 2, 8, 1, 2, 9, 3, 1, 2
500, 14, 5, 5, 3, 9, 2, 3, 10, 1, 2, 3
600, 6, 1, 1, 2, 5, 3, 1, 6, 2, 2, 3
700, 7, 2, 2, 3, 6, 2, 2, 7, 1, 3, 2
800, 16, 3, 3, 1, 7, 3, 3, 8, 2, 2, 3
900, 13, 4, 4, 2, 8, 1, 2, 9, 3, 1, 2
1000, 5, 5, 5, 3, 9, 2, 3, 10, 1, 2, 3
1100, 12, 1, 1, 2, 5, 3, 1, 6, 2, 2, 3
1200, 20, 2, 2, 3, 6, 2, 2, 7, 1, 3, 2
1300, 11, 3, 3, 1, 7, 3, 3, 8, 2, 2, 3
1400, 18, 4, 4, 2, 8, 1, 2, 9, 3, 1, 2
1500, 8, 5, 5, 3, 9, 2, 3, 10, 1, 2, 3
1600, 19, 1, 1, 2, 5, 3, 1, 6, 2, 2, 3
1700, 5, 2, 2, 3, 6, 2, 2, 7, 1, 3, 2
1800, 15, 3, 3, 1, 7, 3, 3, 8, 2, 2, 3
1900, 9, 4, 4, 2, 8, 1, 2, 9, 3, 1, 2
2000, 10, 5, 5, 3, 9, 2, 3, 10, 1, 2, 3
